Date,Intake
2017-12,Intake
2014-12,Intake
2014-03,Intake
2014-04,Intake
2013-11,Intake
2013-11,Intake
2014-11,Intake
2014-09,Intake
2014-03,Intake
2015-09,Intake
2015-11,Intake
2014-12,Intake
2013-10,Intake
2015-02,Intake
2016-09,Intake
2013-11,Intake
2013-12,Intake
2014-08,Intake
2013-12,Intake
2013-12,Intake
2015-04,Intake
2013-10,Intake
2015-10,Intake
2013-11,Intake
2015-03,Intake
2014-09,Intake
2013-12,Intake
2014-07,Intake
2016-06,Intake
2013-12,Intake
2015-05,Intake
2014-07,Intake
2016-08,Intake
2016-03,Intake
2014-09,Intake
2018-01,Intake
2017-10,Intake
2014-01,Intake
2014-11,Intake
2013-10,Intake
2014-11,Intake
2014-10,Intake
2015-06,Intake
2016-01,Intake
2014-11,Intake
2014-03,Intake
2015-08,Intake
2014-09,Intake
2013-11,Intake
2016-12,Intake
2013-11,Intake
2015-02,Intake
2014-08,Intake
2013-12,Intake
2015-07,Intake
2013-11,Intake
2015-01,Intake
2014-01,Intake
2017-04,Intake
2015-08,Intake
2014-12,Intake
2014-10,Intake
2014-06,Intake
2017-12,Intake
2014-07,Intake
2017-04,Intake
2018-03,Intake
2014-09,Intake
2013-10,Intake
2014-08,Intake
2014-11,Intake
2017-11,Intake
2015-09,Intake
2015-07,Intake
2016-08,Intake
2014-02,Intake
2016-11,Intake
2016-04,Intake
2015-06,Intake
2014-04,Intake
2014-07,Intake
2015-07,Intake
2014-04,Intake
2017-06,Intake
2016-09,Intake
2015-12,Intake
2014-05,Intake
2014-03,Intake
2017-03,Intake
2014-11,Intake
2014-11,Intake
2015-10,Intake
2015-04,Intake
2013-10,Intake
2014-09,Intake
2017-02,Intake
2014-10,Intake
2016-04,Intake
2015-06,Intake
2015-03,Intake
2017-11,Intake
2014-02,Intake
2018-02,Intake
2015-12,Intake
2015-03,Intake
2016-05,Intake
2015-03,Intake
2015-08,Intake
2017-05,Intake
2014-03,Intake
2017-12,Intake
2016-01,Intake
2015-07,Intake
2013-11,Intake
2013-11,Intake
2013-10,Intake
2017-06,Intake
2017-04,Intake
2013-10,Intake
2016-05,Intake
2016-05,Intake
2015-05,Intake
2014-01,Intake
2017-05,Intake
2014-06,Intake
2016-09,Intake
2015-06,Intake
2015-05,Intake
2014-07,Intake
2018-02,Intake
2015-05,Intake
2016-12,Intake
2015-02,Intake
2015-04,Intake
2016-02,Intake
2013-11,Intake
2014-01,Intake
2017-06,Intake
2015-05,Intake
2017-08,Intake
2014-11,Intake
2014-11,Intake
2016-08,Intake
2015-11,Intake
2014-05,Intake
2015-08,Intake
2015-03,Intake
2014-07,Intake
2015-07,Intake
2017-07,Intake
2017-08,Intake
2013-10,Intake
2013-12,Intake
2017-09,Intake
2018-01,Intake
2018-01,Intake
2017-08,Intake
2017-03,Intake
2014-08,Intake
2017-04,Intake
2015-07,Intake
2016-05,Intake
2014-12,Intake
2014-05,Intake
2015-08,Intake
2017-04,Intake
2015-05,Intake
2014-01,Intake
2015-09,Intake
2015-09,Intake
2014-12,Intake
2016-03,Intake
2016-03,Intake
2015-02,Intake
2015-09,Intake
2015-03,Intake
2014-11,Intake
2016-04,Intake
2016-03,Intake
2016-01,Intake
2014-06,Intake
2014-11,Intake
2014-03,Intake
2015-09,Intake
2014-08,Intake
2017-01,Intake
2015-09,Intake
2015-09,Intake
2014-10,Intake
2018-02,Intake
2014-06,Intake
2016-06,Intake
2014-10,Intake
2013-11,Intake
2015-07,Intake
2015-08,Intake
2015-05,Intake
2016-06,Intake
2014-07,Intake
2014-03,Intake
2015-06,Intake
2014-02,Intake
2017-07,Intake
2017-10,Intake
2014-01,Intake
2013-12,Intake
2014-08,Intake
2014-07,Intake
2017-09,Intake
2013-10,Intake
2016-02,Intake
2014-02,Intake
2017-08,Intake
2016-01,Intake
2014-08,Intake
2017-07,Intake
2017-06,Intake
2015-03,Intake
2014-11,Intake
2014-05,Intake
2017-02,Intake
2014-07,Intake
2014-12,Intake
2014-01,Intake
2015-09,Intake
2015-12,Intake
2015-08,Intake
2014-02,Intake
2014-06,Intake
2015-12,Intake
2015-11,Intake
2013-12,Intake
2013-12,Intake
2016-04,Intake
2017-03,Intake
2014-01,Intake
2013-11,Intake
2015-07,Intake
2015-01,Intake
2015-12,Intake
2016-08,Intake
2017-07,Intake
2015-08,Intake
2013-10,Intake
2016-10,Intake
2017-06,Intake
2013-11,Intake
2014-05,Intake
2016-05,Intake
2016-10,Intake
2014-12,Intake
2016-04,Intake
2016-09,Intake
2015-11,Intake
2014-06,Intake
2015-07,Intake
2016-03,Intake
2016-01,Intake
2016-04,Intake
2015-01,Intake
2016-06,Intake
2017-10,Intake
2015-05,Intake
2015-05,Intake
2015-10,Intake
2015-08,Intake
2016-08,Intake
2016-08,Intake
2015-10,Intake
2015-07,Intake
2015-10,Intake
2014-11,Intake
2018-03,Intake
2017-01,Intake
2016-08,Intake
2014-03,Intake
2015-06,Intake
2015-10,Intake
2013-10,Intake
2016-04,Intake
2013-10,Intake
2015-03,Intake
2013-10,Intake
2016-11,Intake
2016-10,Intake
2014-01,Intake
2017-05,Intake
2016-05,Intake
2015-01,Intake
2018-02,Intake
2016-02,Intake
2015-08,Intake
2014-04,Intake
2014-07,Intake
2014-05,Intake
2014-01,Intake
2016-10,Intake
2015-06,Intake
2014-01,Intake
2014-05,Intake
2014-02,Intake
2013-11,Intake
2014-05,Intake
2017-12,Intake
2017-03,Intake
2014-04,Intake
2014-11,Intake
2014-05,Intake
2014-03,Intake
2013-10,Intake
2013-11,Intake
2013-10,Intake
2015-10,Intake
2015-11,Intake
2013-11,Intake
2014-02,Intake
2016-02,Intake
2015-03,Intake
2016-09,Intake
2018-01,Intake
2018-01,Intake
2015-04,Intake
2016-12,Intake
2017-04,Intake
2014-04,Intake
2014-01,Intake
2014-06,Intake
2015-04,Intake
2014-08,Intake
2014-03,Intake
2014-01,Intake
2015-07,Intake
2014-09,Intake
2015-03,Intake
2017-01,Intake
2013-10,Intake
2015-01,Intake
2015-03,Intake
2015-03,Intake
2016-01,Intake
2013-11,Intake
2014-09,Intake
2015-05,Intake
2014-05,Intake
2014-04,Intake
2014-03,Intake
2014-01,Intake
2015-02,Intake
2015-02,Intake
2014-03,Intake
2014-01,Intake
